DATE,SALINITY,SALINITY_UNITS
2020-01-01,32.0,ppt
2020-01-02,32.0,ppt
2020-01-03,32.0,ppt
2020-01-04,33.0,ppt
2020-01-05,32.0,ppt
2020-01-06,32.0,ppt
2020-01-07,32.0,ppt
2020-01-08,32.0,ppt
2020-01-09,32.0,ppt
2020-01-11,32.0,ppt
2020-01-12,32.0,ppt
2020-01-13,32.0,ppt
2020-01-14,32.0,ppt
2020-01-15,32.0,ppt
2020-01-16,33.0,ppt
2020-01-17,33.0,ppt
2020-01-19,32.0,ppt
2020-01-20,32.0,ppt
2020-01-21,32.0,ppt
2020-01-22,32.0,ppt
2020-01-24,33.0,ppt
2020-01-25,33.0,ppt
2020-01-26,33.0,ppt
2020-01-27,33.0,ppt
2020-01-28,33.0,ppt
2020-01-29,33.0,ppt
2020-01-30,33.0,ppt
2020-01-31,33.0,ppt
2020-02-01,31.0,ppt
2020-02-02,31.0,ppt
2020-02-03,31.0,ppt
2020-02-04,31.0,ppt
2020-02-05,31.0,ppt
2020-02-06,31.0,ppt
2020-02-07,31.0,ppt
2020-02-11,31.0,ppt
2020-02-12,32.0,ppt
2020-02-13,32.0,ppt
2020-02-14,32.0,ppt
2020-02-17,32.0,ppt
2020-02-18,32.0,ppt
2020-02-24,34.0,ppt
2020-02-25,34.0,ppt
2020-02-26,34.0,ppt
2020-02-27,35.0,ppt
2020-02-28,35.0,ppt
2020-02-29,35.0,ppt
2020-03-01,35.0,ppt
2020-03-02,35.0,ppt
2020-03-03,34.0,ppt
2020-03-04,34.0,ppt
2020-03-05,34.0,ppt
2020-03-06,34.0,ppt
2020-03-12,35.0,ppt
2020-03-15,37.0,ppt
2020-03-16,38.0,ppt
2020-03-17,39.0,ppt
2020-03-18,39.0,ppt
2020-03-19,40.0,ppt
2020-03-20,41.0,ppt
2020-03-21,40.0,ppt
2020-03-22,39.0,ppt
2020-03-23,39.0,ppt
2020-03-24,39.0,ppt
2020-03-25,38.0,ppt
2020-03-26,38.0,ppt
2020-03-27,37.0,ppt
2020-03-28,37.0,ppt
2020-03-29,37.0,ppt
2020-03-30,36.0,ppt
2020-03-31,38.0,ppt
2020-04-01,39.0,ppt
2020-04-02,39.0,ppt
2020-04-29,39.0,ppt
2020-04-30,39.0,ppt
2020-05-01,39.0,ppt
2020-05-02,40.0,ppt
2020-05-03,40.0,ppt
2020-05-04,39.0,ppt
2020-05-05,38.0,ppt
2020-05-06,37.0,ppt
2020-05-07,37.0,ppt
2020-05-08,37.0,ppt
2020-05-09,36.0,ppt
2020-05-10,37.0,ppt
2020-05-11,36.0,ppt
2020-05-12,38.0,ppt
2020-05-13,39.0,ppt
2020-05-14,39.0,ppt
2020-05-15,34.0,ppt
2020-05-16,33.0,ppt
2020-05-17,33.0,ppt
2020-05-18,32.0,ppt
2020-05-19,31.0,ppt
2020-05-20,30.0,ppt
2020-05-21,31.0,ppt
2020-05-22,30.0,ppt
2020-05-23,28.0,ppt
2020-05-24,28.0,ppt
2020-05-25,28.0,ppt
2020-05-26,30.0,ppt
2020-05-27,32.0,ppt
2020-05-28,33.0,ppt
2020-05-29,33.0,ppt
2020-05-30,33.0,ppt
2020-05-31,34.0,ppt
2020-06-01,35.0,ppt
2020-06-02,35.0,ppt
2020-06-03,36.0,ppt
2020-06-04,36.0,ppt
2020-06-05,34.0,ppt
2020-06-06,34.0,ppt
2020-06-07,34.0,ppt
2020-06-08,34.0,ppt
2020-06-09,35.0,ppt
2020-06-10,35.0,ppt
2020-06-11,36.0,ppt
2020-06-12,36.0,ppt
2020-06-13,36.0,ppt
2020-06-14,33.0,ppt
2020-06-15,34.0,ppt
2020-06-16,35.0,ppt
2020-06-17,36.0,ppt
2020-06-18,36.0,ppt
2020-07-17,34.0,ppt
2020-07-18,34.0,ppt
2020-07-19,35.0,ppt
2020-07-20,35.0,ppt
2020-07-21,35.0,ppt
2020-07-22,34.0,ppt
2020-07-23,33.0,ppt
2020-07-24,32.0,ppt
2020-07-25,32.0,ppt
2020-07-26,32.0,ppt
2020-07-27,31.0,ppt
2020-07-28,32.0,ppt
2020-07-29,32.0,ppt
2020-07-30,32.0,ppt
2020-07-31,32.0,ppt
2020-08-01,32.0,ppt
2020-08-02,33.0,ppt
2020-08-03,33.0,ppt
2020-08-04,32.0,ppt
2020-08-05,32.0,ppt
2020-08-06,32.0,ppt
2020-08-07,32.0,ppt
2020-08-08,32.0,ppt
2020-08-09,32.0,ppt
2020-08-10,32.0,ppt
2020-08-11,32.0,ppt
2020-08-12,32.0,ppt
2020-08-13,32.0,ppt
2020-08-14,33.0,ppt
2020-08-15,33.0,ppt
2020-08-16,33.0,ppt
2020-08-17,33.0,ppt
2020-08-18,33.0,ppt
2020-08-19,32.0,ppt
2020-08-20,32.0,ppt
2020-08-21,32.0,ppt
2020-08-22,32.0,ppt
2020-08-23,33.0,ppt
2020-08-24,33.0,ppt
2020-08-25,33.0,ppt
2020-08-26,34.0,ppt
2020-08-27,34.0,ppt
2020-08-28,35.0,ppt
2020-08-29,35.0,ppt
2020-08-30,35.0,ppt
2020-08-31,35.0,ppt
2020-09-01,35.0,ppt
2020-09-03,36.0,ppt
2020-09-04,37.0,ppt
2020-09-05,37.0,ppt
2020-09-06,36.0,ppt
2020-09-07,35.0,ppt
2020-09-08,35.0,ppt
2020-09-09,34.0,ppt
2020-09-10,32.0,ppt
2020-09-11,31.0,ppt
2020-09-12,29.0,ppt
2020-09-13,25.0,ppt
2020-09-14,25.0,ppt
2020-09-15,26.0,ppt
2020-09-16,28.0,ppt
2020-09-17,29.0,ppt
2020-09-18,30.0,ppt
2020-09-19,31.0,ppt
2020-09-20,31.0,ppt
2020-09-21,31.0,ppt
2020-09-22,30.0,ppt
2020-09-23,30.0,ppt
2020-09-24,31.0,ppt
2020-09-25,33.0,ppt
2020-09-26,33.0,ppt
2020-09-27,33.0,ppt
2020-09-28,33.0,ppt
2020-09-29,33.0,ppt
2020-09-30,33.0,ppt
2020-10-01,33.0,ppt
2020-10-02,33.0,ppt
2020-10-03,32.0,ppt
2020-10-04,32.0,ppt
2020-10-05,31.0,ppt
2020-10-06,31.0,ppt
2020-10-07,31.0,ppt
2020-10-08,31.0,ppt
